Skill,Class,Type,CD,Description,Base,%,Rare,Epic,Legendary,Mythic,Divine,Immortal
Desperate Protection,Paladin,Technique,2,"Grants a shield based on the caster's DEF to the ally with the lowest HP within 3 grids of the caster, lasting for 3 turns.",Epic,Shield HP,,20.40,27.20,34.00,40.80,47.60
Forceful Charge,Paladin,Technique,2,"Charges in a straight line for 5 grids. Deals Physical DMG once to all enemies in a 3×4 grid area along the path, with a 100% base chance to knock them back 1 grid to either side.",Epic,DMG,,107.41,134.26,167.82,208.10,268.52
Holy Purification,Paladin,Technique,1,Deals Light Doom DMG once to all enemies in a 1×5 grid area in front of the caster and dispels 1 random buff from them.,Legendary,DMG,,,116.55,145.69,180.65,233.10
Lunarwater Threads,Paladin,Technique,1,"Deals Water DMG once to all enemies within 5 grids of the caster, with a 50% base chance to inflict 1 stack of Cold for 2 turns and pulls them to the caster's location.",Rare,DMG,26.11,29.84,37.30,46.62,57.81,74.59
Star Shattering Slash,Paladin,Technique,3,Deals Physical DMG once to 1 enemy within 1 grid of the caster. (Prioritizes large targets),Legendary,DMG,,,466.20,582.75,722.61,932.40
Hamper Strike,Guardian,Technique,1,"Selects a grid within 4 grids of the caster. Deals Light DMG once to all enemies within 2 grids of the target grid, with an 85% base chance to inflict Taunt for 1 turn. Increases the chance to Taunt non-character units by 100%.",Rare,DMG,73.50,84.00,105.00,131.25,162.75,210.00
Light Sword Array,Guardian,Technique,1,"Creates 4 light swords around the caster. When attacked, removes 1 sword to counterattack, dealing Light DMG once to all enemies within 1 grid of the attacker. (Casts before battle starts: Sword Formation counterattack counts as a Technique cast.)",Epic,DMG,,42.18,52.72,65.91,81.72,105.45
Phantom Blade,Guardian,Technique,1,Deals Light DMG once to all enemies in a 3×4 grid area in front of the caster. (Large targets may take multiple hits.),Legendary,DMG,,,87.50,109.38,135.62,175.00
Raging Maelstrom,Guardian,Technique,1,"Deals Water DMG once to all enemies within 3 grids of the caster, with a 40% base chance to knock them back by 1 grid towards the caster.",Rare,DMG,63.70,72.80,91.00,113.75,141.05,182.00
Seismic Tide,Guardian,Technique,0,Deals Water DMG once to all enemies within 2 grids of the caster.,Epic,DMG,,39.20,49.00,61.25,75.95,98.00
Swirling Blade,Guardian,Technique,1,"Attacks 1 enemy within 1 grid of the caster, dealing Water DMG once and converting 20% of the DMG dealt into a shield (up to 50% of the caster's max HP) for the caster for 2 turns.",Legendary,DMG,,,168.00,210.00,260.40,336.00
Frigid Aura,Guardian,Charm,,"When an enemy ends their turn within 2 grids of the caster, there is a 100% chance to trigger Frigid Aura, dealing Water DMG once, with a 50% base chance to inflict 1 stack of Cold for 2 turns",Legendary,DMG,,,84.00,105.00,130.20,168.00
Frigid Glint,Guardian,Charm,,"Increases the caster's Water Affinity. Each time the caster's Technique deals Water DMG to an enemy, there is a 100% base chance to inflict 1 stack of Cold for 2 turns",Epic,,,,,,,
Holy Aegis,Guardian,Charm,,Increases the caster's DEF. Increases the effectiveness of DEF-based shields granted by the caster.,Rare,,,,,,,
Iron Will,Guardian,Charm,,Enemies affected by Taunt deal reduced DMG to the caster.,Rare,DMG Reduction,11.66,17.50,23.33,29.16,34.99,40.82
Oath of Vigil,Guardian,Charm,,"At the start of the caster's turn, grants Vigil to the allied adventureer with the lowest HP, takng 50% of DMG for them. Reduces DMG taken from this effect, with an additional 1% rediction for ever 1% the caster's DEF exceeds the pprotected unit's This effect cannot be dispelled",Epic,DMG Reduction,,18.00,24.00,30.00,36.00,42.00
Soul Protection,Guardian,Charm,,"At the start of battle, converts 50% of the caster's current HP into a shield. Restores HP proportional to the remaining shield strength upon victory.",Legendary,,,,,,,
Boiling Bloodlust,Warrior,Technique,6,Increases the caster's Crit Rate and Crit DMG for 4 turns. (Zero Initial CD),Epic,Crit Rate,30.00,40.00,50.00,60.00,70.00,80.00
Diving Gale,Warrior,Technique,0,Selects a grid within 4 grids of the caster. Deals Wind DMG once to all enemies within 1 grid of the target grid.,Rare,DMG,32.09,36.68,45.85,57.31,71.07,91.70
Edge Strike,Warrior,Technique,0,Deals Physical DMG once to 1 enemy within 1 grid of the caster.,Rare,DMG,43.61,49.83,62.29,77.87,96.55,124.59
Gravity Pull,Warrior,Technique,0,Selects a grid within 7 grids of the caster. Deals Wind DMG once to all enemies within a 1-grid square area of the target grid and pulls them to the caster's location.,Rare,DMG,12.28,14.03,17.54,21.93,27.19,35.08
Heavy Impact,Warrior,Technique,2,"Attacks 1 enemy within 1 grid of the caster, dealing Physical DMG once and knocking them airborne (Prioritizes large targets)",Legendary,DMG,,,233.60,292.00,362.09,467.21
Leap Attack,Warrior,Technique,1,"Leaps to any empty space within 3 grids of the caster, dealing Physical DMG once to all enemies within 1 grid of the caster, with a 50% base chance to inflict Armor Break 2 for 2 turns.",Rare,DMG,58.62,67.00,83.75,104.69,129.81,167.50
Lion Combo,Warrior,Technique,0,Deals Physical DMG 3 times to 1 enemy within 1 grid of the caster.,Legendary,DMG,,,45.67,57.09,70.80,91.35
Luminous Shield,Warrior,Technique,5,Increases the caster's Block Rate and Block Efficiency for 3 turns. (Zero Initial CD),Epic,Block Rate / Efficiency,,9.00,18.00,27.00,36.00,45.00
Mountain Collapse,Warrior,Technique,1,"Deals Physical DMG once to all enemies within 2 grids of the caster, knocking them airborne, with a 60% base chance to knock them back by 1 grid.",Legendary,DMG,,,65.19,81.49,101.05,130.38
Phantom Assault,Warrior,Technique,0,"Deals Physical DMG once to 1 enemy within 1 grid of the caster, then moves back 3 grids.",Epic,DMG,,48.44,60.55,75.69,93.85,121.10
Quadrant Slash,Warrior,Technique,1,Deals Physical DMG once to all enemies within 1 grid of the caster.,Epic,DMG,,76.14,95.17,118.97,147.52,190.34
Whirlwind Slash,Warrior,Technique,1,Deals Physical DMG 4 times to all enemies within a 1-grid square area of the caster.,Legendary,DMG,,,21.23,26.54,32.91,42.46
Wind Blade Slash,Warrior,Technique,1,"Deals Wind DMG once to all enemies in a 1×4 grid area in front of the caster, with a 50% base chance to knock them back by 1 grid.",Epic,DMG,,84.79,105.99,132.48,164.28,211.97
Blade of Lament,Warrior,Charm,,"Each time a Technique deals DMG to an enemy, triggers a Lifesteal effect, up to 50% of the caster's max HP.",Legendary,Lifesteal,,,2.44,3.05,3.66,4.27
Blade Tempest,Warrior,Charm,,"Each time the caster's Technique deals DMG to an enemy, there's a 40% chance to trigger Sword Gale that deals additional Wind DMG once.",Rare,DMG,16.91,19.32,24.15,30.19,37.43,48.30
Block Awareness,Warrior,Charm,,Increases the caster's Block Rate.,Epic,,,,,,,
Counter Blade,Warrior,Charm,,"When damaged by an enemy's Technique within 2 grids of the caster, there is a 50% chance to counterattack, dealing Physical DMG once to the attacker.",Legendary,DMG,,,44.80,56.00,69.44,89.60
Crystal Armor,Warrior,Charm,,Increases the caster's DEF.,Rare,,,,,,,
Feline Dance,Warrior,Charm,,Increases the caster's SPD.,Rare,,,,,,,
Insightful Eye,Warrior,Charm,,Increases the caster's Crit Rate.,Legendary,,,,,,,
Iron Fortress,Warrior,Charm,,"At the start of battle, increases the DEF of all allied characters within a 3-grid square area of the caster by a percentage of the caster's own DEF. This effect is unique and cannot be dispelled.",Legendary,DEF Bonus,,,12.00,15.00,18.00,21.00
Life Blessing,Warrior,Charm,,Increases the caster's HP.,Rare,,,,,,,
Pure Protection,Warrior,Charm,,"In battle, each time the caster's HP drops below 50%, grants a shield to the caster based on DEF.",Epic,Shield HP,,21.00,28.00,35.00,42.00,49.00
Relentless Frenzy,Warrior,Charm,,Increase the caster's SPD for each enemy unit killed. Stacks up to 4 times.,Epic,Speed,,3.00,4.00,5.00,6.00,7.00
Strength Rules,Warrior,Charm,,Increases the caster's Physical Mastery.,Rare,,,,,,,
Warrior's Essence,Warrior,Charm,,Increases the caster's ATK.,Epic,,,,,,,
Desperate Shadow,Prophet,Technique,1,"Deals Dark DMG once to all enemies within a 1×4 grid area in front of the caster, with a 70% base chance to inflict 1 random debuff (Weakened 2, Armor Break 2, or Slow 2) for 2 turns.",Epic,DMG,,126.92,158.65,198.31,245.90,317.30
Hexed Blast,Prophet,Technique,1,"Selects a grid within 3 grids of the caster. Deals Dark DMG once to all enemies within 2 grids of the target grid. For each type of debuff the target carries, deals additional Dark DMG once, up to 3 times.",Rare,DMG,71.13,81.29,101.61,127.02,157.50,203.22
Radiant Rhythm,Prophet,Technique,1,"Heals 1 ally within 4 grids of the caster once. The effect then chains to 1 random ally within 4 grids of the target, up to 5 times. Repeated healing on the same target is diminished by 35% per instance.",Legendary,Heal Bonus,,,0.82,0.89,1.02,1.17
Soul Reap,Prophet,Technique,2,"Deals Dark DMG twice to 1 enemy within 3 grids of the caster. For every 5% HP lost by the target, this skill deals 5% more DMG, up to a max of 50% increase. (Prioritizes large targets)",Rare,DMG,109.82,125.51,156.89,196.11,243.18,313.78
Thalasson Summon,Prophet,Technique,,Summons 1 Thalasson next to the caster that immediately acts. The summon inherits a percentage of the caster's stats. (The Technique can only trigger once per battle.),Epic,,,,,,,
Void Chant,Prophet,Technique,2,"Creates a magic rune that lasts 2 turns. When an enemy within 5 grids casts a Technique, the rune deals Dark DMG once to them. If the target carries Erosion, triggers the Erosion effect once. (Zero Initial CD)",Legendary,DMG,,,56.00,70.00,86.80,112.00
Cursed Armor,Prophet,Charm,,"Each time the caster takes Technique DMG, there's a 50% base chance to inflict Erosion on the attacker.",Rare,DMG,20.58,23.52,29.40,36.75,45.57,58.80
Rejuvenating Elixir,Prophet,Charm,,"Carries 3 potions at the start of battle. When an allied character's HP falls below 50%, uses a potion to heal them. Produces 1 potion every 3 turns, holding up to 3 at a time.",Legendary,Heal Bonus,,,1.20,1.31,1.50,1.73
Ring of Omen,Prophet,Charm,,"At the start of the caster's turn, reduces Effect RES of all enemies within 5 grids of the caster. This effect is unique. Also there's a 50% base chance to inflict Vulnerability for 1 turn.",Rare,,,,,,,
Shadowy Current,Prophet,Charm,,Increases the caster's Dark DMG. Killing an enemy deals additional Dark DMG once to all enemies within 1 grid of the target.,Epic,DMG,,44.80,56.00,70.00,86.80,112.00
Soulweave,Prophet,Charm,,"When 3 of the caster's summons die or disappear, summons 1 Infernal Fiend in front of the caster that immediately acts. The summon inherits a percentage of the caster's stats. (The Charm can only trigger once per battle.)",Legendary,,,,,,,
Summoning Pact,Prophet,Charm,,Summoning consumes 2% of the caster's max HP to increase the summon's HP. Restores all HP consumed by this Charm if the caster survives until victory.,Epic,,,,,,,
Ember Flare,Magister,Charm,,Increases the caster's Fire DMG. Killing an enemy has a 30% chance to place 1 Blast Spirit on the spot.,Rare,DMG,107.80,123.20,154.00,192.50,238.70,308.00
Frostsoul Ward,Magister,Charm,,"Increases the caster's Water Affinity. When attacked, there's a 70% base chance to inflict Wet on the attacker for 2 turns.",Epic,,,,,,,
Radiant Warp,Magister,Charm,,"Increases the caster's DMG RES. When taking Technique DMG, there's a 50% chance to teleport to any empty grid within 4 grids of the caster. Can trigger only once per turn.",Legendary,DMG Reduction,,,14.28,17.85,21.42,24.99
Thunder Judgment,Magister,Charm,,"When an enemy within 5 grids of the caster casts a Technique, there's a 30% chance to trigger Thunder Strike, dealing Light DMG once. The chance increases to 90% if the target is inflicted with Electro or Wet.",Rare,DMG,49.00,56.00,70.00,87.50,108.50,140.00
Thunderbolt Mark,Magister,Charm,,"Each time the caster's Technique deals Light DMG to an enemy, there is a 65% base chance to inflict Electro.",Epic,DMG,,29.68,37.10,46.38,57.51,74.20
Vital Rhythm,Magister,Charm,,"At the start of the caster's turn, gains 1 stack of Rhythm if the caster's HP is above 30%. This effect stacks up to 5 times and cannot be dispelled.",Legendary,Heal Bonus,,,1.16,1.27,1.45,1.67
Blast Spirit,Magister,Technique,2,Places 2 Blast Spirits in front of the caster. They remain on the battlefield for up to 3 turns. (Zero Initial CD),Legendary,DMG,,,154.00,192.50,238.70,308.00
Crimson Whirl,Magister,Technique,2,Deals Fire Doom DMG 3 times to all enemies in a 3×3 grid area in front of the caster.,Legendary,DMG,,,77.09,96.36,119.49,154.18
Frost Thorn,Magister,Technique,1,"Deals Water DMG twice to all enemies in a 3×3 grid area in front of the caster, with a 30% base chance to inflict Frozen for 1 turn.",Rare,DMG,46.92,53.63,67.03,83.79,103.90,134.06
Light Burst,Magister,Technique,1,"Deals Light DMG once to 1 enemy within 4 grids of the caster. Each instance of damage can chain to 2 random enemies within 4 grids of the target, up to 2 times. Each enemy can only be hit once by the same chain.",Epic,DMG,,100.80,126.00,157.50,195.30,252.00
Storm Rhapsody,Magister,Technique,1,Selects a grid within 5 grids of the caster. Deals Wind DMG 3 times to all enemies within 3 grids of the target grid with a 35% base chance to knock them back by 1 grid towards the center of the battlefield.,Epic,DMG,,34.94,43.68,54.60,67.70,87.36
Twin Gale,Magister,Technique,0,Deals Wind DMG twice to 1 enemy within 3 to 5 grids of the caster.,Rare,DMG,47.04,53.76,67.20,84.00,104.16,134.40
Air Break,Ravager,Technique,1,"Attacks 1 enemy within 1 grid of the caster, dealing Physical Doom DMG once, with an 80% base chance to inflict Armor Break 2 for 2 turns. (Prioritizes large targets)",Rare,DMG,144.88,165.58,206.98,258.72,320.81,413.95
Glacial Song,Ravager,Technique,0,"Selects a grid within 4 grids of the caster. Deals Wind DMG once to all enemies within 2 grids of the target grid, with a 30% base chance to inflict Slow 2 for 2 turns.",Rare,DMG,37.24,42.56,53.20,66.50,82.46,106.40
Night Curse,Ravager,Technique,1,"Attacks all enemies within 2 grids of the caster, dealing Dark DMG once, with a 80% base chance to inflict Blood Source for 1 turn.",Legendary,DMG,,,116.93,146.16,181.24,233.86
Shadow End,Ravager,Technique,2,Teleports to an empty grid adjacent to 1 enemy within 5 grids of the caster. Deals Dark DMG once to the target. Killing the target triggers this skill again. Can be cast up to 4 additional times per turn.,Epic,DMG,,181.44,226.80,283.50,351.54,453.60
Shattering Dance,Ravager,Technique,0,"Attacks 1 enemy within 1 grid of the caster, dealing Physical DMG 3 times, with a 60% base chance to inflict 1 stack of Riven Heart for 1 turn. Stacks up to 3 times. (Prioritizes large targets)",Epic,DMG,,25.80,32.26,40.32,50.00,64.51
Solaris Storm,Ravager,Technique,1,"Deals Fire DMG 3 times to all enemies within a 1-grid square area around the caster, then deals Fire DMG once to all enemies within a 2-grid circular area around the caster. (Zero Initial CD)",Legendary,DMG,,,84.72,105.90,131.32,169.44
Dominant Gaze,Ravager,Charm,,Deals increased Technique DMG to targets above 70% HP.,Rare,DMG Bonus,12.00,18.00,24.00,30.00,36.00,42.00
Flaming Heel,Ravager,Charm,,"After actively moving, deals Fire DMG once to all enemies within 1 grid of the caster.",Rare,DMG,43.04,49.19,61.49,76.86,95.31,122.98
Scarlet Zeal,Ravager,Charm,,"Each Technique cast grants a stack of Battle Zeal and increases the caster's ATK. At 6 stacks, Battle Zeal converts to Scarlet Zeal, greatly increasing the caster's ATK for 2 turns. (Battle Zeal doesn't stack while Scarlet Zeal is active.)",Legendary,ATK Bonus,,,14.87,18.59,22.31,26.03
Shadowstep,Ravager,Charm,,"Within a single turn, each time the caster loses over 10% of max HP, reduces DMG taken and increases SPD for 2 turns. Stacks up to 5 times.",Legendary,SPD Bonus / DMG Reduction,,,2.40,3.00,3.60,4.20
Tempest Edge,Ravager,Charm,,"Each time the caster's Technique deals Crit DMG to an enemy, causes additional Wind DMG once.",Epic,DMG,,16.80,21.00,26.25,32.55,42.00
Windless Lord,Ravager,Charm,,"Increase DMG dealt by the caster's Wind Orbs. Each time a Wind Orb is generated, there's a 70% chance to generate another, up to 4 times per turn.",Epic,DMG Bonus,,27.00,36.00,45.00,54.00,63.00
Healing Shift,Templar,Charm,,"Increases healing received. Instead of restoring HP, all healing is converted at a 1:1 ratio into a shield for 2 turns. When the shield disappears, any remaining shield strength is converted 1:1 back into HP.",Legendary,Heal Bonus,,,8.00,10.00,12.00,14.00
Holy Bulwark,Templar,Charm,,Counterattack skills deal more DMG.,Rare,DMG Bonus,10.40,15.60,20.80,26.00,31.20,36.40
Holy Recuperation,Templar,Charm,,"At the end of the caster's turn, if no Techniques were cast this turn, heals the caster once and increases DMG dealt next turn by 50%.",Epic,Heal Bonus,,1.95,2.22,2.43,2.78,3.20
Holy Restoration,Templar,Charm,,"asting each Light Technique has a 70% chance to gain 1 stack of Renewing Light. At 6 stacks of Renewing Light, heals the caster once.",Legendary,,,,2.80,3.06,3.50,4.03
Punishment Sigil,Templar,Charm,,"Each time the caster blocks an enemy's Technique attack, there's a 100% base chance to inflict Sigil.",Rare,Vulnerability,8.00,12.00,16.00,20.00,24.00,28.00
Sacred Rhythm,Templar,Charm,,"From the caster's 3rd turn onward, increases DMG dealt at the start of each turn. Stacks up to 3 times.",Epic,DMG Bonus,,6.00,8.00,10.00,12.00,14.00
Dawnburst,Templar,Technique,1,Deals Light DMG once to all enemies within 3 grids of the caster. (Large targets may take multiple hits.),Legendary,DMG,,,171.87,214.84,266.40,343.74
First Light,Templar,Technique,0,Removes all shields to select a grid within 4 grids of the caster and deals Light DMG once to all enemies within a 1-grid square area around the target grid. The DMG dealt is a percentage of the shields consumed.,Epic,DMG,,67.20,84.00,105.00,130.20,168.00
Iron Slashes,Templar,Technique,1,Deals Physical DMG twice to 1 enemy within 1 grid of the caster. (Prioritizes large targets),Rare,DMG,151.90,173.60,217.00,271.25,336.35,434.00
Last Stand,Templar,Technique,0,"Moves to any empty space within 4 grids of the caster, dealing Physical DMG once to 1 enemy within 1 grid of the caster, with an 85% base chance to inflict Taunt for 1 turn. Increases the chance to Taunt non-character units by 100%. (Prioritizes large targets.)",Epic,DMG,,71.20,89.00,111.26,137.96,178.01
Sacred Shine,Templar,Technique,0,Selects a grid within 3 grids of the caster. Deals Light DMG once to all enemies within a 1-grid square area of the target grid.,Rare,DMG,63.02,72.03,90.03,112.54,139.55,180.07
Sanctified Soul,Templar,Technique,2,"Enters the Sanctification state for 2 turns, reducing DMG taken by the caster and all allied characters within 4 grids of the caster. The effect is unique and cannot be dispelled. (Zero Initial CD)",Legendary,DMG Reduction,,,14.40,18.00,21.60,25.20
